"Name","Definition","Status","Related Terms","Synonyms","Acronym","Experts","Stewards","Resources","[Attribute][Business Glossary]Domain","[Attribute][Business Glossary]Equivalent Phrases","[Attribute][Business Glossary]System-Table-Field"
"Mrkt Group Csw Code (APS)","The market group CSW is a marketing categorization.  It is used in determining size literals.  
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE_CSW-MRKT_GROUP_CSW_CD"
"Sample Indicator (APS)","Indicator If Plant Is A Sample Plant","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-SAMPLE IND"
"Season Active in Inventory Management","Indicates whether the season processing is active in inventory management.
Use
This setting allows you to store season, season year, collection and theme information in stock tables and material movement tables. It also validates this information (season, collection and theme) in goods movement.
This setting is used for the following season usages that you maintain in the Article master -> Additional Data -> Season| Article As:
�Use Season Year/Season
�Season Year/Season/Collection
�Season Year/Season/Collection/Theme
The setting is not applicable when you choose the Do not use season Do not use Season Year/Season as the season usage.
The Season Active in Inventory Management setting at a plant level for a distribution center (DC) functions is as follows:
�If you select the checkbox for a generic article and reference DC, then the season IM flag is copied to all variants of the reference DC. Similarly, if you select this checkbox for a generic article and non-reference DC, the season IM flag is copied to all the variants of the non-reference DC.
�If you select the checkbox for a variant of a particular non-reference DC, then the season IM flag is not copied to other variants of the same non-reference DC.
�When you modify an article, the setting for Season Active in Inventory Management cannot be changed for a variant of a particular DC for which a batch is already created. However, you can change this setting for variants of the same DC which do not have batches created.
Dependencies
If the Season Active in Inventory Management checkbox is selected for an article, then the Batch Management checkbox has to be activated in the Article master -> Logistics: DC.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-FSH_SEAIM"
"Customer Planning Group ID (IBP)","ID code for the Customer Planning Group","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Customer-ZZCPGID"
"Outer Pack  Code (APS)","A set of products relating to a finished product that are packaged together ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU-OUTER_PACK_CD"
"SOP Plant","Indicates a dummy plant that is used for planning purposes in Sales and Operations Planning (SOP).","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-WKSOP"
"SOURCE STORAGE LOCATION","The storage location within a plant from which outbound goods/materials are taken.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"SUPPLY PROTECTION","Protect stock across distribution channels based on demand and supply matching. SUP provides the ability to restrict the demand within a channel and within a specific period based on a predefined set of attributes. ​","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Tax Classification For Customer (AFS)","Indicates whether, during pricing, the system takes into account taxes that relate to the customer (for example, state sales taxes).","Approved","","","","Cesar.Ford-Morel@hanes.com: Sr Tax Analyst;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNVI-TAXKD"
"BIC Number","SWIFT provides a BIC+ file which contains a directory of all existing banks with a SWIFT code.  Each bank is assigned a number, known as the BIC+key. This BIC+ key is the only attribute of a bank that does not change and can thus be used to identify a bank.
A BIC+ key consists of 3 parts:
1. 4-characters, alphanumeric: constant 'BCPL'2. 2-characters, alphanumeric: country key3. 6-characters, numeric: numeric code (consecutive number).","Approved","","","","Jay.Metzger@hanes.com:Director, Corporate Accounting;Steven.Caudill@hanes.com:Sr Mgr Global Transaction Services;","Cassandra.Martin@hanes.com:Cassandra Martin - Finance Domain Lead;","","Finance","","MDG-BNKA-BICKY"
"Corp Business Unit  Description (APS)","The corporate business unit is the business unit that is associated with ""owning"" division.  This is a display field only and will be derived from the corporate division.  Please see chart in the style section of this manual. 
","Approved","","","","","Cassandra.Martin@hanes.com:Cassandra Martin - Finance Domain Lead;","","Finance","","APS-CORP_BUSINESS_UNIT-CORP_BUSINESS_UNIT_DESC"
"Exchange rate (IBP)","Exchange Rates are used to define a relationship between two currencies and also to maintain exchange rates that are used to translate an amount into another currency.","Approved","","","","","Cassandra.Martin@hanes.com:Cassandra Martin - Finance Domain Lead;","","Finance","","IBP-Exchange Rate-EXCHANGERATE"
"TOTAL NET WEIGHT","The total net weight of all items in the delivery","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Actual Size No (APS)","A unique value assigned to the dimensions, extent, amount, or degree of a product, in terms of how large or small it is. ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ITEM_SIZE-ACTUAL_SIZE_NO"
"INCOMPLETION LOG","View and resolve processing errors prior to saving the order.​","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Customer Number of Plant","Industry
The customer that is assigned to the plant for the purposes of stock transport orders.
Retail
The debit side (that is, customer side) of a retail site that is automatically assigned to a retail site in site master maintenance. The retail site is assigned to the customer at the same time and in the same way.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-KUNNR"
"Packaging Description (APS)","Packaging Description","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU PUTUP-PACKAGING DESC"
"Fiber Finish","Type of finish applied to the garment.","Approved","","","","Amy.Greeson@hanes.com:GROWTH TEAM-Champion No America Amy Greeson (Male);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZFIBERCODE"
"GENERIC MATERIALS","Generic materials do not exist physically and are not sold but exist as a data reference for 
variants.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Inhouse production","Specifies the time in workdays needed to produce the material in-house. In-house production time is independent of the order quantity.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARC-DZEIT"
"Minor Sort Size Seq No (APS)","A sequential number dedicated to sorting minor sizes of garments","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ITEM_SIZE-MINOR_SORT_SIZE_SEQ_NO"
"Aps Override Indicator (APS)","Aps Override Ind For Transmission To Pkms","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU PUTUP-APS OVERRIDE IND"
"Profit Center","Key which together with the controlling area uniquely identifies a profit center.
Represents a combination of Product Group/Brand/COT/Gender/Age attributes.","Approved","","","","Melissa.Doll@hanes.com:PRODUCT DEV-Activewear Melissa Doll (Sr Mgr);Bernadette.Ledbetter-Booker@hanes.com:PRODUCT MGT-Champion Bernadette Booker (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","","",""
"Seasonality","Concatenation of Season, Season-Year","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-Derived from MDG FSH_SEASONS_MAT-FSH_SEASON and FSH_SEASONS_MAT-FSH_SEASON_YEAR"
"PURCHASE ORDER DATE","The date that appears on the customer's purchase order that may represent the date on which the customer created the purchase order","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Std Inner Pack Ups Qty (APS)","The standard inner pack UPS quantity is optional.  This field was previously known as style box ups case.    ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_REVISION-STD_INNER_PACK_UPS_QTY"
"Shipping Activity Indicator (APS)","A flag that signifies if the activity is related to shipping","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ACTIVITY-SHIPPING_ACTIVITY_IND"
"Production Ratio Time Series Indicator (IBP)","Times Series indicator for Production Ratio. Type P only","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Production Source-PRATIOTS"
"POST GOODS ISSUES (PGI)","Post Goods Issues – Status that indicates that a shipment has been created","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Incompl Data Indicator (APS)","The incomplete data indicator is used to determine if a path is for ""Early Product Set Up"".  If the incomplete data indicator is set to ""yes"", path level detail and customs information is not required.  Once the incomplete data indicator is set to ""no"", the balance of the path level detail and the customs information must be entered prior to saving the record. ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-MFG_PATH-INCOMPL_DATA_IND"
"Distribution Profile at Plant Level","Central control profile for the merchandise distribution process at plant level.
In this process materials are procurred on the condition that the recipients among which the merchandise is to be distributed are uniquely defined at procurement.
Merchandise can be distributed among the recipients within a plant using various methods. Both cross-docking and flow-through are possible
This indicator determines whether these methods are possible in this plant","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-FPRFW"
"Division Code (IBP)","The code of the division to which the product belongs","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZDIVISIONCODE"
"Supplier Telephone number","Telephone numbmer, consisting of dialing code and number, but without the country code.
If the telephone number consists of a company number and an extension, the extension must be entered in the field extension.
Use
Telephone number, as it must be dialed from within the country.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Phone No","MDG-LFA1-TELF1, MDG-KNVK-TELF1, MDG-ADRC-TEL_NUMBER, MDG-ADR2-TEL_NUMBER, MDG-BUT051-TEL_NUMBER"
"External Size (APS)","A unique value assigned to the dimensions, extent, amount, or degree of a  source product, in terms of how large or small it is. ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-EXTERNAL_SKU_XREF-EXTERNAL_SIZE"
"FIXED ALLOCATION STATUS","Allocation status that indicates that product has been allocated to an order and that the allocation percentage has reached the acceptable level that is required for delivery to the DC","Approved","","","","MaryKathryn.Kenney1@hanes.com: MK Kenney;","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Lw Company (APS)"," The company code assigned by the Lawson system will pull from the corporate division.  It is a display field only.","Approved","","","","","Cassandra.Martin@hanes.com:Cassandra Martin - Finance Domain Lead;","","Finance","","APS-CORP_BUSINESS_UNIT-LW_COMPANY"
"Activity Description (APS)","An explanation of a unique identifier assigned to each transition of a HBI style/product
ACTIVITY_CD	ACTIVITY_DESC
KNT	KNIT
BAT	BATCH
CHM	CHEMICALS
D/F	DYE & FINISH
CUT	CUT
KIT	KIT
SEW	SEW
PAK	FOLD & PACK
PUL	PICK GARMENTS
ATR	ATTRIBUTE
MAK	MAKE FINDINGS
XFR	TRANSFER
UNK	UNKNOWN
RCV	RECEIVE
SHP	SHIP
STG	STAGE
PRT	PRINT
RCP	RECEIVE CUTPART
REP	STG FOR REPS
SW2	SEW II
HEM	HEM
SHC	SHIP CLOTH-CW
MLD	MOLDING
LAM	LAMINATED FAB
KITC	CUT PART KIT
KITF	FABRIC KIT
KITA	ATTRIBUTION KIT
PKH	PACK AFTER HEM
SHPF	FINAL SHIP
KITT	KIT THREAD
PAKA	PACK AFTER ATTR
KITP	PKG MATERIALS
VAP	VAP
RCVF	FINAL RECEIVE
FIN	FINISHING
DYE	DYE
DYENG	DYEING
KNITJ	KNIT FINISH CLO
DBF	DYE/BLE/FIN
SEW1	SEWING ONE
KNTJ	KNIT FINISH CLO
ATR2	ATTRIBUTE 2ND
PAK2	FOLD & PACK 2ND
WSH	PROCESS
RCVATT	RCV FOR ATTR
RCVVAP	RECEIVE FOR VAP
KITY	KIT YARN
KITG	GREIGE FABRIC
ATF	ATTRIBUTED FABR
FSHP	SHIP FABRIC
SSHP	SHIP TO ATR
SRCV	RECEIVE
RCVA	RECEIVE
RECV1	RECEIVE
RCV1	RECEIVE
PULL	BEEFY LS T
SHP1	SHIP
RCV2	RECEIVE
SHP2	SHIP
RCV3	RECEIVE
ATRF	ATTRIBUTE
COMP	COMPONENT MFG
COM	COMPONENT MFG ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ACTIVITY-ACTIVITY_DESC"
"Site Customer Number","Gives an alphanumeric key, which clearly identifies the customer or vendor in the SAP system.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","Customer No","MDG-WRF1-LOCNR"
"Prod Family Code (APS)","The product family is a production family used by capacity planning to group like garment together.  
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE_CHP-PROD_FAMILY_CD"
"Indicator: ""automatic purchase order allowed""","Defines that purchase orders are generated automatically when purchase requisitions are converted into purchase orders. If this indicator is flagged, the system does not display the purchase orders on the screen before they are saved. In the master record for the vendor with whom the material is ordered, the field ""Automatic purchase order"" must be flagged in the control data for the purchasing data.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARC-KAUTB"
"Frozen Horizon (IBP)","the planning horizon that is set where the plan is considered frozen. The frozen period is important to solidify the plan and to eliminate short term changes to the plan.","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Location Product-FROZENHORIZON"
"Growth Team","Growth team responsible for product sales","Approved","","","","Amy.Greeson@hanes.com:GROWTH TEAM-Champion No America Amy Greeson (Male);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZGROWTHTEAM"
"Partner Converted","Planned Change Documents for Partner Were Converted","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-BUT000-TD_SWITCH"
"Merchandise Category: Packaging Articles (Material Group: Packaging Materials)","Groups together materials that require similar packaging materials. For example, you could use the term 'liquids' to group together all materials that need to be packed in packaging materials suitable for liquids.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-MAGRV"
"Prod feature cushioning","Product feature representing cushioning","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZPRODFEATURE_CUSSHIONING"
"Plant Active Indicator (APS)","A system OF letters, numbers, OR symbols into which normal language is converted to allow information to be communicated secretly, briefly, or electronically that an specific object in a system is active or inactive.","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-PLANT_ACTIVE_IND"
"Available (Deliverable) From","Date as of which the vendor can supply the material.
Together with the field ""Available to"", this field delimits the period in which the vendor supplies the material, e.g. antifreeze from 10.01 to 03.31.
The system checks whether the delivery date entered in the purchasing document falls within this period. If not, you will receive a warning message or an error message.
If you make use of this field, you do not have to maintain numerous source list entries.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINA-LIFAB"
"Product Line (PLM)","Product Line identifies a particular print pattern as to its intended gender age.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill;","","Material-Product","","PLM-Product-hbiErpProductLine"
"IPI Credit Allowed","IPI credit allowed","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-OIHCREDIPI"
"Supply Chain Segment (IBP)","Indicates the Supply Chain Segment of the product.

Supply Chain Segment will be leveraged to determine if the Location Product Stocking Node Type Indicator is to be (S)tocked or (N)on-Stocked.

EX Values: Replen/ Managed Replen/ Vol flex/ Product Flex","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZSCSEGMENT"
"Express Train Station Express Station","Free flowing field used to denote Duplicate account.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Express Station","MDG-KNA1-BAHNE"
"Date from which the plant-specific material status is valid","Date from which the plant-specific material status is valid
�Materials planning
The valid-from date of the material status is considered only if it precedes or is the same as the planning date; that is, if the valid-from date is later than the planning date, it is not considered, even if it is within the planning horizon.
�Purchasing
The valid-from date of the material status is checked against the current date.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARC-MMSTD"
"QUANTITY CONFIRMED","Quantity that HBI is confirming to be shipped on an order","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Change Number To","System generated change number used if there is a replacement BOM.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STKO-ECN_TO"
"POSTING PERIOD VARIANT","SAP allows the assignment of different posting period variants for ledgers and provides controls for opening and closing periods to these ledgers without impacting the US GAAP books.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Customer Distribution Channel","The way in which products or services reach the customer. Typical examples of distribution channels are wholesale, retail, or direct sales.","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Distribution","MDG-MVKE-VTWEG, MDG-KNVV-VTWEG"
"Purchasing Info Record Purchase Order Unit of Measure","The purchase UOM is simply the unit of measure in which a vendor requires you to purchase the part number.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","Alternative Unit of Measure","MDG-EINA-MEINS"
"Order Acknowledgment Requirement","Determines whether the purchasing document ( purchase order, outline purchase agreement, etc.) is to be acknowledged by the supplier.","Approved","","","","Kennedy.Waiguru@hanes.com:Kennedy Waiguru - Sr Procurement Analyst;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Order Ack, Order Acknowledgment","MDG-LFM1-KZABS"
"Product Division ID (IBP)","ID code for the Product Division","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Customer-ZZPRDDIVISIONID"
"Sales Area Customer Group Description (IBP)","Description for the Sales Area Customer Group ID","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Customer-ZZSALESAREACUSTGROUPDESCR"
"Major Group Prt Code (APS)","The major group PRT is a marketing categorization","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE_PRT-MAJOR_GROUP_PRT_CD"
"Source List Purchasing Organization","The organizational unit that procures materials and services, and negotiates terms and conditions of purchase with vendors.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Source List","Purch Org","MDG-EORD-EKORG"
"Std Units (APS)","The standard units field indicates what increment the time is stated in.  For garment routings and cut part routings, the standard units should be 12.  The times are stated per dozen garments. 
""	Standard Units- The standard units defaults to 12
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-OPER_ROUTING-STD_UNITS"
"GRID DESCRIPTION","Description of the grid value.  It includes the description of the size, and color","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Delivery Plant","Plant starting from which you wish to select data.","Draft","","Delivering Plant (Own Or External) (AFS);Delivery Plant;","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Delivery Plant","MDG-KNVV-VWERK"
"Account Assignment Group For This Customer (AFS)","the account assignment group to which the system automatically posts the sales document.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNVV-KTGRD"
"Discretionary Inventory Flag (IBP)","","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Location Product-DISCINVFLAG"
"STOCK TRANSFERS","The stock transfer is nothing but transferring of materials from one plant to another storage location, from plant to plant, plant of company code to plant of another company code.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Ind: Flag material for deletion at distribution chain level","If this indicator is set, the archive and delete program checks whether the material may be deleted at distribution chain level, and deletes the data at this level.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MVKE-LVORM"
"MATERIAL DOCUMENT","A document that constitutes proof of one or more material movements, and is a source of information for downstream processing","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Material Corp Division  Code (APS)","The corporate division will be the division that actually owns the style (the division that gets margin dollars for making the sell).  This field was previously known as business segment.  
  

 ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-CORP_DIVISION_CD, APS-STYLE_RSVN-CORP_DIVISION_CD"
"Newwear Indicator (APS)","Indicator If Plant Is A Newwear Plant","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-NEWWEAR IND"
"Material Group","Code used to group together several materials or services with the same attributes
Material Group Hierarchy provide the foundation for Merchandise Management and reporting within the SAP S4 Fashion system.
The Material Group Hierarchy (MGH) classifies and structures the entire range of articles bought, sold, or manufactured by the business.
The MGH is system required and is a key enabler for article and Material Group management; the objective being to provide article grouping into more disciplined levels, making it easier to monitor and control business activities.
A sustainable design approach to the MGH will most commonly result in the MGH being driven based on tangible product attributes, this will result in a static hierarchy, subject to minimal reclassification.
The material is assigned to the Material Group which is the lowest level of the MGH. &nbsp;The material group frames the physical attributes of articles and their characteristics. &nbsp;At the point of article creation, the assignment of a Material Group is mandatory.","Approved","","","","Amy.Greeson@hanes.com:GROWTH TEAM-Champion No America Amy Greeson (Male);Philip.Egnatz@hanes.com:FINA-Corporate Phil Egnatz (Dir Acctg Comm);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","Material Group, Product Hierarchy, Merchandise Hierarchy, Merchandise Category","MDG-MARA-MATKL"
"Fabrication (IBP)","Indicates the Fabrication of the product

EX Values: Fleece, Jersey, French Terry, Mesh, Woven, Other","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZFABRICATION"
"Country of Origin","All countries the garment will be manufactured in.","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","CoO","MDG-MARA-ZZCOUNRYOFORIG"
"Volume Rebate Group","HbI will use for licensing royalty calculations","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MVKE-BONUS"
"RULES","Rule for calculating score and credit limit of a business partner.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Unloading Point (AFS)","Specifies the point at which the material is to be unloaded (for example, ramp 1).","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","GLN NUMBER","AFS-KNVA-ABLAD"
"Season","Reporting period in which a fashion article is available.","Approved","","","","Andrew.Greenstein@hanes.com:Andrew Greenstein;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-FSH_SEASONS_MAT-FSH_SEASON"
"Std Process Time (APS)","Standard Process Time- The standard process time is used to capture machine time.  
The standard units field indicates what increment the time is stated in.  For garment routings and cut part routings, the standard units should be 12.  The times are stated per dozen garments. 
""	Standard Units- The standard units defaults to 12. 

 ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-OPER_ROUTING-STD_PROCESS_TIME"
"Supplier Company Code","The company code is an organizational unit within financial accounting.","Approved","","","","Steven.Caudill@hanes.com:Steven Caudill-Sr Mgr Global Transaction Services;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Co Code ","MDG-LFB1-BUKRS"
"Size Line (APS)","
IF a SKU has been entered ON THE SKU TABLE FOR this STYLE, THE SIZE line cannot be changed.  THE SIZE line must match BETWEEN THE garment STYLE AND THE associated cut parts. 
    ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-SIZE_LINE"
